doc_id,D,name,Points,CareerPoints
1,1,Carmelo Anthony,26126,26126
3,3,Sheryl Swoopes,4875,4875
5,5,Crystal Langhorne,4433,4433
2,2,Johnny Dawkins,5984,5984
10,10,Briann January,3084,3084
11,11,Odyssey Sims,2915,2915
4,4,Don Buse,4485,4485
12,12,Damiris Dantas,1550,1550
13,13,Eva Nemcova,1304,1304
15,15,Teresa Weatherspoon,1264,1264
6,6,Kwame Brown,4219,4219
16,16,Jessica Davenport,1148,1148
17,17,Sylvia Crawley,1050,1050
7,7,C.J. McCollum,4128,4128
18,18,Janice Braxton,733,733
20,20,Jessica Moore,633,633
8,8,Eduardo Najera,3563,3563
21,21,Kristin Haynie,555,555
22,22,Cindy Brown,532,532
9,9,George Trapp,3353,3353
25,25,Sonja Henning,490,490
27,27,Katie Gearlds,385,385
14,14,Travis Knight,1276,1276
29,29,Coretta Brown,344,344
31,31,Ewelina Kobryn,215,215
19,19,Michael Wiley,692,692
32,32,Yelena Leuchanka,207,207
33,33,Nikolina Milic,185,185
23,23,Jaylen Brown,515,515
35,35,Cierra Burdick,96,96
41,41,Alexis Prince,50,50
24,24,Lester Hudson,500,500
42,42,Carla Thomas,43,43
44,44,Kamiah Smalls,31,31
26,26,Cristiano Felicio,421,421
45,45,Nadine Domond,27,27
47,47,Stephanie Watts,15,15
28,28,Kyle Weaver,363,363
30,30,Paul Long,274,274
34,34,Howard Wood,144,144
36,36,Josh Selby,83,83
37,37,Ron Horn,77,77
38,38,Bob Williams,70,70
39,39,Adam Harrington,60,60
40,40,Anthony Grundy,52,52
43,43,Desmond Penigar,32,32
46,46,John Pinone,20,20
48,48,Mike O'Neill,12,12
49,49,Chad Gallagher,6,6
50,50,Ed Earle,4,4
